Establishment,Manager,Status,Rooms,Beds,Address,Island,Tel,Email,License Type
La Perle Self Catering,MELLON Ianne (Mrs),Operational,3,6,Anse Soleil,Mahe,2811024,laperle.sey@gmsil.com,Self Catering
La Petite Maison Self Catering,BOSSY Nicole (Mrs),Operational,1,2,Anse Consolation,Praslin,2529001/2540001,bravoseychelles@yahoo.com,Self Catering
La Pointe Beach Hut,ADELINE Jonathan (Mr),Operational,5,10,Anse Takamaka,Praslin,4344893/ 2819815,info@lapointehuts.com,Self Catering
La Residence,HODOUL Paul (Mr),Operational,9,18,Anse La Mouche,Mahe,4371733/ 4410529,villa@seychelles.net,Self Catering
La Residence Dalmee,BISTOQUET Dorina (Mrs),Operational,2,4,Baie Ste Anne,Praslin,2513714,tido@seychelles.net,Self Catering
La Rocaille,ESPARON Lise (Mrs),Operational,2,4,Anse Soleil,Mahe,2574754/ 2524238,lelarocaille@gmail.com,Self Catering
La Rousette,ROBERT Ronald (Mr),Operational,10,20,Anse Aux Pins,Mahe,4376245/ 4376011,laroussettehotel@seychelles.sc,Small Hotel
La Saline,CANARRA Ghislaine (Mrs),Operational,3,6,Anse Possesion,Praslin,2566235/2543706,la.saline@yahoo.com,Self Catering
La Vida,DIDON Marthe Petovar (Mrs),Operational,4,8,Au Cap,Mahe,2780458/2781921/4375539,petovar@outlook.at,Self Catering
La Villa Therese Holiday Apartments,Roddy Marie (Mr),Operational,18,36,Anse Royale,Mahe,4610676/4371288/2643110,info@lavillatherese.com,Self Catering
La Voi Del Mare,REVERA Wilson (Mr),Operational,3,6,Amitie,Praslin,2502919,contactus@lavoidelmare.com,Self Catering
La Vue Self Catering,PASSON Lydvine (Mrs),Operational,4,8,Glacis,Mahe,2511185,lydvinepasson@gmail.com,Self Catering
Lakaz an bwa,IGLESIAS Gerald & Veronic (Mr & Mrs),Operational,5,10,Anse Gaulette,La Digue,4234326/2512343,gvtropic@outlook.com,Self Catering
Lakaz Safran,ROBERT Lisette (Miss),Operational,4,8,La Passe,La Digue,4234012/ 2511647,safran@seychelles.net,Bed & Breakfast Guesthouse
Lalla Panzi,TIRANT-WEIDNER Therese (Mrs),Operational,4,8,Anse Aux Pins,Mahe,4376411,lpb@intelvision.net,Bed & Breakfast Guesthouse
Lapasyans Self Catering ( EX Hubert's Holiday Home),SHAMLAYE Noella (Mrs),Operational,5,10,Beau Vallon,Mahe,4247051/2723561,nshamlaye@gmail.com,Self Catering
Lavigne Self Catering,LAVINGE Nicole (Mr),Operational,2,4,Grand Anse,Praslin,4233483/2589589,diego@seychelles.net,Self Catering
Lazare Picault,ALBERT Lionel (Mr),Operational,14,28,P.O Box 135,Mahe,2578602/2510109,lazarpco@seychelles.net,Small Hotel
Lazy Hill Bungalows (Ex Joseraa Self Catering),ISSMAEIL Ahmad Sami (Mr),Operational,2,4,Bel Ombre,Mahe,2790110,lazyhill.booking@gmail.com,Self Catering
Le Bonheur,REA Marylene (Mrs),Operational,4,8,Norh East Point,Mahe,2527171/ 2522218/ 2815577,marylenerea@hotmail.com,Bed & Breakfast Guesthouse
Le Chant de merle,BARBE Ina (Mrs),Operational,4,8,Mont Simpson,Mahe,2629940/2710987,inabrbe@gmail.com,Self Catering
Le Chateau Bleu,"DENIS Guy, Benoit, Joseph (Mr)",Operational,5,10,Anse Aux Pins,Mahe,2764830/ 4376424,mail@chateaubleu.sc,Bed & Breakfast Guesthouse
Le Chevalier Bay Guesthouse,VARGIOLU Jeanne (Mrs.),Operational,10,20,Anse Lazio,Praslin,4232322 / 2590385/2544856,chevalierbay@seychelles.sc; lechevalierbay@gmail.com,Guesthouse
Le Domaine De Bacova,EICHLER Henri (Mr),Operational,8,16,P.O Box 132,Mahe,2716600/2716868,bacova.seychelles@gmail.com,Self Catering
Le Domaine De L' Orangeraie,SALDANHA Joy (Mr),Operational,63,126,Anse Severe,La Digue,4299999,reservations@orangeraie.sc; gm@orangeraie.sc,Large Hotel
Le Domaine De La Reserve,FOURNIER Sylvie (Mrs),Operational,40,80,Anse Petit Cours,Praslin,4298000/4298013/2527957,resa@lareserve.sc;,Medium Hotel
Le Duc De Praslin,PAYET Robert (Mr),Operational,36,72,Cote d'Or,Praslin,4294800/2781504,"leduc@seychelles.net, gmleduc@seychelles.net,cafe@seychelles.net",Medium Hotel
Le Grand Bleu,PARMANTIER Rene (Mr),Operational,4,8,Pointe Cabris,Praslin,4294200/2501446,gbleu@seychelles.net,Self Catering
Le Jardin Des Palmes,KUMAR Santosh (Mr),Operational,10,20,P.O Box 131,Mahe,4389100,operations@jardindespalmes-seychelles.com,Small Hotel
Le Manglier Self Catering,JUPITER Lyra (Miss),Operational,3,6,Pointe Larue,Mahe,2572222/ 2511223/ 4373979,jupiter@seychelles.net,Self Catering
Le Nautique Luxury Beachfront Apartments (Ex Driftwood),ST ANGE Annalise (Ms),Operational,5,10,Anse Royale,Mahe,4376003,info@lenautique.sc,Self Catering
Le Nautique Luxury Waterfront Hotel,ST ANGE Natasha (Ms),Operational,5,10,La Passe,La Digue,2519950,info@lenautique.sc,Small Hotel
Le Port Guesthouse,POOL Marie-Annette (Miss),Operational,2,4,Baie Ste Anne,Praslin,4232262,mapool.leport@gmail.com,Self Catering
Le Relax Beach House,Mr. Prasad Vishnu (Mr),Operational,4,8,Anse Reunion,La Digue,4234434,beachhouse@lerelaxhotel.com; gm@lerelaxhotel.com,Bed & Breakfast Guesthouse
Le Relax Beach Resort,Ms. Pasang Lama,Operational,12,24,P.O Box 4060,Praslin,4233238/4294646/2641033,beachresort@lerelaxhotel.com,Small Hotel
Le Relax Hotel & Restaurant,Mr. Prasad Vishnu (Mr),Operational,15,30,P.O Box 215,Mahe,4382900/ 2620772/2641033,helpdesk@lerelaxhotel.com,Small Hotel
Le Relax Luxury Lodge,SHERPA Yankey (Ms),Operational,6,12,Anse Gaulette,La Digue,2618110/4234343/2591879,luxurylodge@lerelaxhotel.com,Small Hotel
Le Relax Self Catering,Mr. Prasad Vishnu (Mr),Operational,3,6,Anse Reunion,La Digue,4234434/2641033,beachhouse@lerelaxhotel.com,Self Catering
Le Relax St. Joseph Guesthouse,Mr. Prasad Vishnu (Mr),Operational,4,8,St Joseph,Praslin,4233366/ 2522371/2641033,beachresort@lerelaxhotel.com; reservation@lerelaxhotel.com; vinay@krg-lax.com,Guesthouse
Le Repaire Boutique Hotel & Restaurant,CORSAME Zenaida (Mrs),Operational,9,18,Anse Reunion,La Digue,2530594/2620851/2530594,reservations@lerepaireseychelles.com;hotel@lerepaireseychelles.com;director@lerepaire.com,Small Hotel
Le Rocher De Machabee,BALETTE Olivia (Mrs),Operational,3,6,Machabee,Mahe,2516051,baletteolivia@gmail.com,Self Catering
Le Ronce Villa,ESPARON GUICHARD Sophia (Mrs),Operational,8,16,Anse Royale,Mahe,2829381/2543254/2527253,info@leroncevilla.com,Self Catering
Le Sans Souci,DURUP Jeanine (Mrs),Operational,7,14,P.O Box 1234,Mahe,4225355/2514646,sansouci@seychelles.net ; info@lesansoucis.com,Bed & Breakfast Guesthouse
Le Sans Souci Self Catering,DURUP Jeanne (Mrs),Operational,2,4,Sans Soucis,Mahe,4225355,sansouci@seychelles.net,Self Catering
Le Surmer,LOW LAM Brigitte (Mrs),Operational,12,24,Anse Reunion,La Digue,2781770/ 4235181,lesurmerchalets@seychelles.net,Self Catering
Le Tropique Villa,MOREL Therese (Mrs),Operational,6,12,Amitie,Praslin,4233027/2513027,tropic@seychelles.net,Self Catering
Lemongrass Lodge,GOUFFAY Stella Daniella (Mrs),Operational,6,12,Mare Anglaise,Mahe,2510343/2816414,lemongrassresa@yahoo.com,Self Catering
L'Entretemps,BASTIENNE Rudie (Mrs),Operational,3,6,Glacis,Mahe,2853022/2821606,rbastienne@hotmail.com,Self Catering
Leo petit villa,ETHEVE Doris (Ms),Operational,4,8,Anse Kerlan,Praslin,4233980/2811439,bellevacanceseychelles@gmail.com;leopetitvilla.seychelles@gmail.com,Self Catering
Leo Petit Villa Annex,ETHEVE Doris (Ms),Operational,8,16,Baie Ste Anne,Praslin,4233980/2811439,leopetitvilla.seychelles@gmail.com;bellevacancesseychelles@gmail.com,Self Catering
Les 4 Etoiles Holiday Villas,ANTOINE Debbie Megan (Mrs.),Operational,3,6,Marie Jeanne Estate,Praslin,2722848,eden@email.com,Self Catering
Les Delices de L'Ocean,ESTROP Robin (Mr),Operational,5,10,Pointe Conan,Mahe,4241021/,robinestrop82@gmail.com,Small Hotel
Les Elles Ocean View,DOGLEY Marie Desiree (Mrs),Operational,2,4,Baie Lazare,Mahe,2591937/ 2790674,lesellesdesseychelles@gmail.com,Self Catering
Les Lauriers Petit Hotel,Cardon Sybille (Mrs),Operational,13,26,Cote d'Or,Praslin,4297900 /2512333/ 2718869,laurier@seychelles.net,Small Hotel
Les Maisonettes,Daniella Adeline,Operational,2,4,La Poudriere,Mahe,2716869,daniella.adeline@yahoo.com,Self Catering
Les Manguiers,MICHEL Octavie (Mrs),Operational,2,4,Machabee,Mahe,4241766/ 4241455 /2583868,,Self Catering
Les Tourelles,GUICHARD Dominique (Mr),Operational,4,8,Au Cap,Mahe,2510024,suzanguichard@gmail.com,Self Catering
Les Villas D'or,DOGLEY Pierre (Mr),Operational,12,24,,Praslin,4232777 /2531777,villador@seychelles.net,Self Catering
L'Escale Resort marina and Spa,CAROFANO Cyril (Mr),Operational,25,50,Roche Caiman,Mahe,4675555/2516175,info@lescaleresort.com,Medium Hotel
L'Escapade Beach Villa,NAGEON DE LESTANG Joel (Mr),Operational,3,6,Au Cap,Mahe,2723010,soodharrybegum@gmail.com,Self Catering
L'Habitation des Cerfs,HORNER Delta (Mrs),Operational,12,24,P.O Box 910,Cerf Island,2781311,bookings@habicerf.com,Small Hotel
L'Hirondelle Self Catering,VIDOT Precy (Mr),Operational,12,24,Cote d'Or,Praslin,4232243,hirondel@seychelles.net,Self Catering
Lianne de Mai,"JOSEPH Marthe, Lauria (Mrs)",Operational,2,4,Belle Vue,La Digue,4234219/ 2517010,lianedemai@email.sc,Self Catering
Lighthouse 65,MONDON Judy (Mrs),Operational,2,4,Au Cap,Mahe,2525813,Judymondon@yahoo.com; hlight48@yahoo.com,Self Catering
L'Ilot Beach Chalets,"PAYET Owen, Peter (Mr)",Operational,6,12,P.O Box 321,Mahe,2712307,owenpayet@yahoo.co.uk,Self Catering
Little Bawa,CAMMILLE Terence (Mr),Operational,3,6,Anse Boileau,Mahe,25217183/ 2610041,littlebawavilla@gmail.com,Self Catering
L'Oasi Self Catering,PLUMAS Lindi (Ms),Operational,4,8,P.O Box 1278,Mahe,2511050,oasi-seychelles@hotmail.com,Self Catering
Lone Self Catering Apartment,ROSE France (Mr),Operational,16,32,Cap Samy,Praslin,2515818/ 2515819/2834616,loneappartment@gmail.com,Self Catering
Louise Apartment,MOREL Louise (Mrs),Operational,1,2,La Misere,Mahe,4344870/ 2748924,marinettemorel@yahoo.com,Self Catering
Loulou Bungalows,FELIX Michel (Mr),Operational,2,4,Amitie,Praslin,2503868,info@louloubungalows.com,Self Catering
Lovers Nest,VOLCY Jenna Rita (Mrs),Operational,2,4,Anse Aux Pins,Mahe,2587450/2509234/4375484/4,ritavolcy@gmail.com,Self Catering
Lucy's Guesthouse,MARKARAS Alex (Mr),Operational,4,8,Anse Reunion,La Digue,2639267/2637468,alexmarkaras@hotmail.com,Guesthouse
L'Union Estate Chalets,PAYET Gregoire (Mr),Operational,4,8,"L'Union Estate, La Digue",La Digue,4234240/ 4292525/2605061,reservation1@ladigue.sc/ reservation2@ladigue.sc/ reservation3@ladigue.sc,Self Catering
Maison Amantine,LAFORTUNE Gerard (Mr),Operational,3,6,Anse a La Mouche,Mahe,2526821/2874254/2526821,gerard@seychelles.net,Self Catering
Maison Belle Baie,LADOUCEUR Cecile (Miss)  / LESPERANCE Stanley (Mr),Operational,3,6,Baie Ste Anne,Praslin,2512494/ 2522494,cecile@email.sc,Self Catering
Maison Cattleya,CONFIANCE Odile (Ms),Operational,7,14,Anse La Mouche,Mahe,2610016/2510214,cattleya@seychelles.net,Self Catering
Maison Charme de L'ile,MILLS Debbie (Mrs),Operational,4,8,L'Union Estate,La Digue,2512542/ 2512543,maisoncharmedelile@gmail.com,Self Catering
Maison de Jardin,VALLATI Geraldina (Mrs),Operational,5,10,Curio Road,Mahe,4224584/2505370,joelle@maisondejardin.com,Self Catering
Maison Des Vacanze,POZZI Antonella (MS),Operational,6,12,Baie Ste Anne,Praslin,2536756,villagepraslin@gmail.com,Self Catering
Maison du Soleil,DUGASSE Jean Louis (Mr),Operational,2,4,Anse Boudin,Praslin,2576315/2572780/2590635/,jeanlouis@seychelles.net,Self Catering
Maison Ed-Elle,CONSTANCE Elluna (Ms),Operational,4,8,La Passe,La Digue,2515847/2608992,maisonedelle@gmail.com; Elluna.constance@yahoo.com,Self Catering
Maison Fragipan,THOMSEN Christine (Mrs),Operational,2,4,Au Cap,Mahe,2375798/2558700,tropikar@gmail.com,Self Catering
Maison France,FRICHOT Gilbert (Mr),Operational,8,16,Anse Royale,Mahe,4322762/2519560,gilbert@mahedesignbuild.com,Self Catering
Maison L'Horizon,ZARINE Marie-Vonne (Mrs),Operational,6,12,Quincy Village,Mahe,2522108/2712229,william.zarine@hotmail.com;zconsulting@gmail.com,Self Catering
Maison Marikel,GABLER Marie Ange Laporte (Mrs),Operational,3,6,Au Cap,Mahe,2777195,marie.gabler@gmx.de,Self Catering
Maison Soleil,GEE Andrew (Mr),Operational,2,4,Anse Soleil,Mahe,4361649/ 2712677,maisonsoleil.info@gmail.com,Self Catering
Maison Vue Des Iles,OTTEN Claudette (Miss),Operational,2,4,Anse La Blague,Praslin,2791948/2517186,claudetteo@gmail.com,Self Catering
Maka Bay Residence,CHIONNI Nicole (Mrs),Operational,3,6,Glacis,Mahe,2718881,Makabay.res@gmail.com,Self Catering
Manglaise Cottage,MAUREL Angelika (Miss),Operational,1,2,"PO Box 935, Victoria",Mahe,4261104/ 2511104,markplus@seychelles.net,Self Catering
Mango House,TYAS Sasha (Mrs),Operational,41,82,Anse Poules Bleus,Mahe,4397000/2600463,Sasha.tyas@hilton.com,Medium Hotel
Mango Lodge,LESPERANCE Kevin & Leslie (Mr & Mrs),Operational,10,20,Anse Volbert,Praslin,4232077/2570454/2530136,mango@seychelles.net,Self Catering
Manresa,MEDERICK Claudette (Mrs),Operational,5,10,P.O Box 692,Mahe,4241388/2728655,manresa@intelvision.net,Small Hotel
Maravie Estate,KUEHN Klaus (Mr),Operational,5,10,Takamaka,Mahe,2781633 / 2609079,info@maravieestate.com; tropicdesign@icloud.com,Self Catering
Marie Laure Bed & Breakfast,NAYA Vanessa (Ms),Operational,10,20,P.O Box 14,Mahe,4303191/2516591,info@marielauresuites.com,Bed & Breakfast Guesthouse
Marie Laure Self Catering,NAYA Vanessa (Ms),Operational,14,28,Bel Ombre,Mahe,2516591/4671800,info@marielauresuites.com,Self Catering
Marie-France Beach Front Apartments,MOREL Michelle (Mrs),Operational,3,6,La Passe,La Digue,2535207/4234271/4234018,info@ladigueapartments.com,Self Catering
Marl Self Catering,GAYON Marie-Aline (Mrs),Operational,1,2,"C/O Locus Architect, Providence",Mahe,2534520/ 4373227,marlselfcatering@gmail.com,Self Catering
Marquise Villa,"ANDRE Marc, Vahid (Mr)",Operational,3,6,Glacis,Mahe,2516869,marcandreseychelles@yahoo.com,Self Catering
Mazelia Self catering,ZELIME Mazelia (Ms),Operational,1,2,Takamaka,Mahe,2565203,celissezelime@gmail.com,Self Catering
MC Self Catering,CHETTY Michel (Mr),Operational,1,2,Baie Ste Anne,Praslin,2535389,mcselfcatering@hotmail.com,Self Catering
Megan House,MOUSTACHE David (Mr),Operational,3,6,Beau Vallon,Mahe,2517838,josi2mo@gmail.com,Self Catering
Mer Riviere Self Catering,CHARLETTE Nadia (Mrs),Operational,2,4,Beau Vallon,Mahe,2641382,merriviereseychelles@gmail.com,Self Catering
Metcalfe Villa,METCALFE Rosie Loulou (Ms),Operational,6,12,Self Catering,Mahe,2570322,rosielouloumetcalfe@gmail.com,Self Catering
Michel Holiday Apartments,MICHEL Amy (Ms),Operational,8,16,Les Mamelles,Mahe,4344962/2541591,michelco2@seychelles.net,Self Catering
Mirella's Villa,GRAY Mirella (Mrs),Operational,5,10,Anse Possession,Praslin,2541523,jerrygrey43@yahoo.com,Self Catering
Mon Desir,PENDLEBURY Danielle (Mrs),Operational,4,8,Au Cap,Mahe,2803068,danielle.pendlebury@hotmail.co.uk,Self Catering
Mon Reve Villa,SCHUESSLER  Patricia Judith (Ms),Operational,3,6,Anse Boileau,Mahe,4355334,mathias.schuessler@gmx.net,Self Catering
Mont Buxton Villa,COBIAN Rose-Mary (Ms),Operational,7,14,Mont Buxton,Mahe,2782826,cocobay6@gmail.com,Bed & Breakfast Guesthouse
Moonlight Beach Villa,RADEGONDE Sibert (Mr),Operational,10,20,La Passe,La Digue,2596120/2594190,moonlightbeachvillaladigue@gmail.com,Small Hotel
Morry's Self Catering,AGATHINE Morry (Ms),Operational,1,2,Point Cabris,Praslin,4236009/2588487,ronnyagathine@seychelles.com,Self Catering
Mouggae Blues,LIONNET Kenji (Mr),Operational,2,4,Glacis,Mahe,2614146/2757577,mouggaeblues@gmail.com,Self Catering
Moulin Kann Villas,MONDON Alain (Mr),Operational,5,10,Anse Forbans,Mahe,4366550/2511742,moulinkannvillas@gmail.com,Self Catering
Mountain Apartment,JACQUES Louisane (Ms),Operational,2,4,Anse Etoile,Mahe,2717167,louisianne@email.sc,Self Catering
Mountain Lodge,DUGASSE Andrine (Ms),Operational,2,4,Cote Dor,Praslin,2522000/2712067,mountainlodgeselfcatering@gmail.com,Self Catering
Mountain top Self Catering Chalets,"HOAREAU Agnes, Ethel (Mrs)",Operational,1,2,La Misere,Mahe,2525815/2713003/4344024,daphneehoareau@gmail.com / daffymarie@icloud.com,Self Catering
My Angel Self Catering,MONNAIE Gerard (Mr),Operational,2,4,Anse Reunion,La Digue,2505417/ 2636762,mymonnaie@gmail.com,Self Catering
My Corner House,CAMILLE Nadia (Mr),Operational,1,2,Mont Buxton,Mahe,2821041/2582848,nadiacamille504@gmail.com,Self Catering
My House,VOLCY Jean-Marc (Mr),Operational,2,4,Glacis,Mahe,2761235/2572456,charletteunderwood@gmail.com/ myhouseseychelles@hotmail.com,Self Catering
My Ozi Perl,HOAREAU Myriam ( Mrs),Operational,2,4,Amitie,Praslin,2632767/2729381/2848205,saroginy@iinet.net.au,Self Catering
Myra's Self catering Apartments,ERNESTA Myra (Ms),Operational,1,2,Anse Volbert,Praslin,2521238,myraernesta974@gmail.com,Self Catering
Nice View Self Catering,SEDGWICK Gilbert (Mr),Operational,3,6,Fairyland,Mahe,2512241/4257055,info@fineview.com,Self Catering
Nid Aigle Lodge,MORGAN Sonny (Mr),Operational,5,10,Anse Consolation,Praslin,2642134,smbigue2@gmail.com,Self Catering
Ninique,LANZA Veronique (Ms),Operational,3,6,Beau Vallon,Mahe,4247404,info@sables-dor.sc,Self Catering
North Island Resort,LOUYS Nicolas (Mr),Operational,17,34,P.O 1176,North Island,4293100 / 2633211,nicolasl@north-island.com,Small Hotel
North West Bay Residence,THERESINE Barney (Mr),Operational,2,4,Mare Anglaise,Mahe,4247668/2529009,nwbay.residence@gmail.com,Self Catering
O Soleil Guesthouse,WORTH Helen (Mrs),Operational,4,8,Anse Severe,La Digue,2735311,osoleilchalet@yahoo.com,Self Catering
Ocean Bird & Wanita's Self Catering,PILLAY Wanita (Mrs),Operational,1,2,Point Au Sel,Mahe,4372114/2515576,elizarusteau@msn.com,Self Catering
Ocean Jewels,TIRANT Cindy ( Ms),Operational,6,12,Amitie,Praslin,4233373/ 2520808,info@oceanjewels.sc,Self Catering
Ocean Panorama,VOLCERE Cianna Mellene (Ms),Operational,2,4,Au Cap,Mahe,2524756/4410642,mcvolcere10@yahoo.co.uk;oceanpanorama@hotmail.com,Self Catering
Ocean Spray,MAIDEN Ethel (Mrs),Operational,5,10,North East Point,Mahe,2510802,maiden@seychelles.net,Self Catering
Ocean Terrace,ELIZABETH Kereck (Mr),Operational,4,8,Anse Royale,Mahe,2611366/2520808/4377220,info@oceanterrace.sc; c_tirant@hotmail.com,Guesthouse
Ocean Villa,ADAM Dorothy (Mrs),Operational,6,12,Grand Anse,Praslin,2516523/ 2511879,reservations@oceanvilla.sc,Self Catering
Ocean Vista,VOLCY Jean Marc (Mr),Operational,1,2,Au Cap,Mahe,2572456,charletteunderwood@gmail.com,Self Catering
Oceane L' Union Villa,DE ROBILLARD Marie (Ms),Operational,2,4,L'Union,La Digue,2528939/ 4234553,oceaneselfcatering@seychelles.net; lisettelajoie58@yahoo.com,Self Catering
Oceane's Self Catering,DE ROBILLARD Marie Elizabeth (Miss),Operational,3,6,La Passe,La Digue,2528939/ 4234553/2510547,oceaneselfcatering@seychelles.net; lisettelajoie58@yahoo.com,Self Catering
Oceanic View Apartments,GONZLAVES Brian (Mr),Operational,8,16,Beau Belle,Mahe,2525077/2566666,ovaseychelles@gmail.com,Self Catering
Oceanica Resort,QUDIH Idham (Mr),Operational,68,136,Glacis,Mahe,2619723/4373400,idham@sunshineproperties.sc,Self Catering
Oceanside Self Catering,FREMINOT Lisette (Mrs),Operational,1,2,Anse Boileau,Mahe,2512959,rayhenriette@yahoo.co.uk,Self Catering
Ogumka,MAGNAN Fania (Ms),Operational,3,6,Port Glaud,Mahe,2861018/ 2797802,jonw32@aol.com,Self Catering
OMUSEE Self Catering,ESTHER Steve (Mr),Operational,4,8,Cote d'Or,Praslin,2527810/4236132,praslinmuseum@seychelles.net,Self Catering
Orchid Self Catering Apartment,"SAVY Marie-Antoine, Lorra (Mrs)",Operational,6,12,Anse Reunion,La Digue,4234023/ 2572340,mars@seychelles.net,Self Catering
Orchid Sunset Guesthouse,HOAREAU Lynda (Miss),Operational,4,8,Anse a La Mouche,Mahe,2716682/ 4371734,orchid.selfcatering2011@gmail.com; ljhoareau@yahoo.com,Self Catering
Palm Beach Hotel,HOAREAU Joel (Mr),Operational,13,26,Grand Anse,Praslin,4290290/ 2511788,manager.palmbeach@palmbeachseychelles.com,Small Hotel
Palm Holiday Apartments,LEBON Gilbert (Mr),Operational,8,16,Grand Anse,Praslin,4238000/2511500,gf.lebon@gmail.com,Self Catering
Palm Royale Hotel,CARBONIN Marie Therese (Mrs),Operational,7,14,Port Glaud,Mahe,2744428,info@villaspalmroyal.com; kveta@villaspalmroyal.com,Self Catering
Palmeria,THOMSEN Karine (Ms),Operational,1,2,Au Cap,Mahe,4375798/2558700,tropikar@gmail.com,Self Catering
Palmont Apartments Self Catering,"UDWADIA Viraf, Pervez (Mr)",Operational,6,12,Beau Vallon,Mahe,2510911,virafu@yahoo.com,Self Catering
Palmont Commercial Centre,"UDWADIA Viraf, Pervez (Mr)",Operational,4,8,Beau Vallon,Mahe,2510911,"virafu@yahoo,com",Self Catering
Palmont Complex Self Catering,"UDWADIA Viraf, Pervez (Mr)",Operational,5,10,Beau Vallon,Mahe,2510911 / 2781911,virafu@yahoo.com,Self Catering
Palmont Studio Self Catering,"UDWADIA Viraf, Pervez (Mr)",Operational,4,8,Beau Vallon,Mahe,2781911,virafu@yahoo.com,Self Catering
Panorama Guesthouse,RAKIC Mary (Mrs),Operational,10,20,P.O Box 821,Mahe,4247300/ 4247500/2523037,panorama@seychelles.net,Guesthouse
Paodise (Seychelles),JACOB Anis (Mr),Operational,2,4,Anse Reunion,La Digue,2514385,jacobs_seychelles@yahoo.com,Self Catering
Papaya Self Catering,PELISSIER Gerard & Marie- Therese (Mr & Mrs),Operational,3,6,"Solitude, La Misere",Mahe,4344596/ 2578211,motysony@hotmail.fr,Self Catering
Paradise Chalets,MADELEINE Sam (Mr),Operational,9,18,Takamaka,Mahe,2645202/4366655,smadeleine@paradisechalets.sc,Self Catering
Paradise Flycatcher,HOAREAU Victor (Mr),Operational,8,16,Anse Reunion,La Digue,2601255,victorahoro2000@yahoo.com.au,Guesthouse
Paradise Sun Hotel,NORMAN Paul (Mr),Operational,80,160,Anse Volbert,Praslin,4293293/2524621,Paul.Norman@tsogosun.com,Large Hotel
Pascalo Villa,ALBERT Norma (Ms),Operational,4,8,Intendance,Mahe,2781139/ 2829239/2820616,Norma76.nja@gmail.com,Self Catering
Passage du Soleil,Mrs Maryse Delport / Mrs Slella Philoe,Operational,2,4,Baie Ste Anne,Praslin,2566235/2543706/2604959,passagedusoleil@gmail.com,Self Catering
Patatran Village,LABLACHE Gerard (Mr),Operational,25,50,Anse Patate,La Digue,4294300/2514233,patatran@seychelles.net,Medium Hotel
Patchouli Residences,BARGAIN Ronan (Mr),Operational,2,4,Eden Island,Mahe,2633365/ 2777228,gedapirame@hotmail.com,Self Catering
Peax Villa,AXELSSON Peggy (Ms),Operational,3,6,St Sauveur,Praslin,2548447/ 2588359,info@peaxvilla.se,Self Catering
Pebbles Cove,BERNSTEIN Amanda (Mrs),Operational,4,8,"PO Box 1396, Victoria, Mahe",Mahe,2828637/ 2825828,najbernstein@gmail.com,Self Catering
Pension Citadelle,ERNESTA Logan & Talma (Mrs),Operational,2,4,La Passe,La Digue,2602059/4234506,talmaernesta05@gmail.com,Self Catering
Pension Fidele,"SOCRATE Josette, Marie, Theresa (Mrs)",Operational,7,14,Anse Reunion,La Digue,2522256,pfjoset@gmail.com,Self Catering
Pension Hibiscus,BONAPARTE Jennita (Mrs),Operational,5,10,Anse Reunion,La Digue,2575896/ 2515652/2566221,hibiscus@email.sc,Self Catering
Pension Michel,MICHEL Nigel (Mr),Operational,8,16,Anse Reunion,La Digue,4234003/2512621,nigelmichel@seychelles.net,Small Hotel
Pension Residence,LADOUCE Isabelle (Mrs),Operational,12,24,La Passe,La Digue,4234304/2521518,chezmich@seychelles.net,Self Catering
Peponi Self Catering,HOAREAU Jamie (Ms),Operational,3,6,Beau Vallon,Mahe,2755133,jamie.hoareau@creoleexchange.com,Self Catering
Petit Amour Villa,PERKINS John (Mr),Operational,4,8,Sorento,Mahe,2577282 / 2578039,info@petitamourvilla.com,Small Hotel
Petit Barbaron Villa,BRUTUS Marc (Mr),Operational,3,6,Barbarons,Mahe,2527218,mbrutus48@gmail.com,Self Catering
Petit Bay Chalet,MANCIENNE Jessy (Miss),Operational,10,20,Au Cap,Mahe,2516403/ 4375566,mmass@seychelles.net,Self Catering
Petra's Guesthouse,BOUCHEREAU Norbert (Mr),Operational,3,6,La Passe,La Digue,2716220,petraguesthouse@yahoo.com,Self Catering
Pierre's Studio,"UDWADIA Viraf, Pervez (Mr)",Operational,1,2,Beau Vallon,Mahe,2510911 / 2781911,virafu@yahoo.com,Self Catering
Pineapple Beach Villas,JOHNSTON Jade (Miss),Operational,8,16,Baie Lazare,Mahe,2557717/2595002,info@pineapplebeachvillas.com,Self Catering
Pirogue Lodge,LAURENCE Romano (Mr),Operational,6,12,Cote D'or,Praslin,4236677/ 2610061,info@piroguerestaurant.com.,Small Hotel
Platte,Island Development Company,Operational,4,8,P.O Box 638,Platte,4384640/4224467,val@idc.sc; christiane@idc.sc,Guesthouse
Prescious Residence,ALBERT Carol (Mrs),Operational,2,4,Barbarons,Mahe,2570881,preciousresidence@gmail.com,Self Catering
Raffles Praslin (Seychelles) Resort,RAZZOUK Salwa  (Mr),Operational,90,180,Anse Boudin,Praslin,4296000/2501390,Salwa.Razzouk@raffles.com,Large Hotel
Red Coconut Self Catering,DOFFAY Juliette (Mrs),Operational,2,4,Anse Poules Bleus,Mahe,2521648,redcoconutseychelles@gmail.com,Self Catering
Reef Hills Residence,UZICE Sharel Cynthia,Operational,3,6,Au Cap,Mahe,4376484/2533797/2565869,cynthiauzice@hotmail.com,Self Catering
